Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
1726,1978,2009-12-22,n,UAB MD Pramogos,302457552,,,Naujamiestis,"baras, Gedimino g. 30-4 / Kęstučio g. 23-4, Kaunas",alkoholiniais gėrimais,20–6 val.,,,,,,gerti ten pat ir išsinešti
1727,2332,2014-05-09,n,UAB „DAJUNIKA“,302461045,,,Milikoniai,"kavinė, Žemaičių pl. 66, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1728,2007,2010-06-08,n,Uždaroji akcinė bendrovė „Neritas“,302465830,,,Žaliakalnis,"kavinė, Savanorių pr. 192, Kaunas",alkoholiniais gėrimais,9–17 val.,,,,,,gerti ten pat ir išsinešti
1729,1982,2010-01-29,n,UAB „Danielė ir Matas“,302470496,,,Gričiupis,"kavinė-baras, Pašilės g. 70A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1730,2000,2010-04-28,n,Zitos Rimkienės individuali įmonė,302472853,,,Žemieji Šančiai,"kioskas prie namo M. K. Čiurlionio g. 16, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
1731,2247,2013-04-19,n,UAB „Agroix“,302476129,,,Naujamiestis,"kavinė, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,9–21 val.,,,,,,gerti ten pat ir išsinešti
1732,2105,2011-07-15,n,UAB „KREDITA“,302476766,,,Dainava,"kavinė, Savanorių pr. 288, Kaunas",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
1733,2105/1,2013-05-16,n,UAB „KREDITA“,302476766,,,Senamiestis,"kavinė, Jonavos g. 32B, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat
1734,2024,2010-09-17,n,UAB „SANDWICH BAR“,302477028,,,Žaliakalnis,"kavinė, Savanorių pr. 168, Kaunas",alkoholiniais gėrimais,11–23 val.,2016-05-11,,,,,gerti ten pat ir išsinešti
1735,2082,2011-05-04,n,UAB „SUFLERIS“,302478564,,,Naujamiestis,"kavinė, K. Donelaičio g. 16, Kaunas",alkoholiniais gėrimais,11–2 val.,,,,,,gerti ten pat ir išsinešti
1736,2150,2012-01-09,n,UAB „VINOPHILIA“,302481553,,,Senamiestis,"baras, Vilniaus g. 38, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
1737,2155,2012-02-02,n,UAB „DNC prekyba“,302483006,,,Gričiupis,"stacionarios parduotuvės specializuotas alkoholinių gėrimų skyrius,Kovo 11-osios g. 58-2, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1738,2155/1,2012-11-28,n,UAB „DNC prekyba“,302483006,,,Gričiupis,"parduotuvės alkoholinių gėrimų skyrius, Saulės g. 41, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1739,2049,2010-12-17,n,UAB „Alynas“,302483198,,,Kalniečiai,"kavinė, Savanorių pr. 255, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1740,2049/1,2012-05-24,n,UAB „Alynas“,302483198,,,Žaliakalnis,"kavinė, Savanorių pr. 111, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1741,2049/2,2012-10-12,n,UAB „Alynas“,302483198,,,Gričiupis,"kavinė, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1742,2049/3,2012-12-13,n,UAB „Alynas“,302483198,,,Smėliai,"kavinė, Žemaičių pl. 23, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1743,2049/4,2017-01-24,n,UAB „Alynas“,302483198,,,Naujamiestis,"kavinė, Vytauto pr. 24, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1744,2001,2010-05-04,n,UAB „Bajorų smuklė“,302486109,,,Milikoniai,"restoranas, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1745,1995,2010-03-31,n,UAB „Nedraja“,302486212,,,Žaliakalnis,"specializuotas alkoholinių gėrimų prekybos skyrius, Savanorių pr. 60, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1746,1995/1,2012-05-04,n,UAB „Nedraja“,302486212,,,Žaliakalnis,"kavinė, Taikos pr. 4, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1747,1995/2,2012-05-04,n,UAB „Nedraja“,302486212,,,Senamiestis,"kavinė, Savanorių pr. 11, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1748,1997,2010-04-20,n,UAB „NAUDENĖ“,302486493,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Rytinės galerijos 17 salė, Pramonės pr. 16, Kaunas",alkoholiniais gėrimais,8–18 val.,,,,,,išsinešti
1749,1997/1,2010-06-30,n,UAB „NAUDENĖ“,302486493,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Rytinės galerijos 11 salė, Pramonės pr. 16 (7F1b), Kaunas",alkoholiniais gėrimais,8–18 val.,,,,,,išsinešti
1750,2100,2011-06-22,n,UAB „Centrinė BPI“,302489361,,,Vilijampolė,"specializuotas alkoholinių gėrimų prekybos skyrius, Jurbarko g. 5, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1751,1998,2010-04-20,n,UAB „Grantukas“,302489678,,,Rokai,"kioskas prie namo Senajiesio g. 1, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
1752,2234,2013-03-06,n,UAB „In Tilsit“,302490538,,,Naujamiestis,"restoranas, Vytauto pr. 32, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat
1753,2064,2011-02-09,n,UAB „Grizzly Grill“,302495421,,,Eiguliai,"kavinė, Šiaurės pr. 3A, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–1 val.,,,,,,gerti ten pat
1754,2528,2016-11-16,n,UAB „Senis ir jūra“,302496943,,,Senamiestis,"kavinė, Vilniaus g. 16, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1755,2002,2010-05-20,n,UAB „Dagima“,302501696,,,Gričiupis,"baras, K. Baršausko g. 65, Kaunas",alkoholiniais gėrimais,10–2 val.,,,,,,gerti ten pat ir išsinešti
1756,2016,2010-08-11,n,Uždaroji akcinė bendrovė „Lauminda“,302503569,,,Naujamiestis,"baras, Laisvės al. 42 , Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1757,2030,2010-10-27,n,UAB „Disco Ball“,302503590,,,Senamiestis,"baras, Rotušės a. 2, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1758,2004,2010-05-28,n,UAB „GIEDRŪNA“,302503996,,,Milikoniai,"kavinė, Jotvingių g. 15, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1759,2008,2010-06-23,n,UAB „ARS TUBE“,302504518,,,Naujamiestis,"baras, Laisvės al. 51A, Kaunas",alkoholiniais gėrimais,18–4 val.,,,,,,gerti ten pat
1760,2504,2016-08-03,n,UAB „KAUNO ARENA“,302505310,,,Naujamiestis,"restoranas, Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1761,2003,2010-05-27,n,UAB „Picos visiems“,302506273,,,Freda,"kavinė, Europos pr. 85, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1762,2009,2010-06-30,n,UAB „VIKARA“,302513271,,,Naujasodis,"kavinė, Rytinės galerijos 11 salės 2 aukštas, Pramonės pr. 16 (7F1b), Kaunas",alkoholiniais gėrimais,8–17 val.,,,,,,gerti ten pat ir išsinešti
1763,2009/1,2017-03-22,n,UAB „VIKARA“,302513271,,,Naujasodis,"kavinė, Raudonosios galerijos 1 salė,  Pramonės pr. 16 (3E3b), Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1764,2061,2011-02-03,n,UAB „SĖKMĖS SPARNAI“,302513556,,,Senamiestis,"baras, Rotušės a. 2, Kaunas",alkoholiniais gėrimais,12–5 val.,,,,,,gerti ten pat
1765,2171,2012-04-04,n,UAB „Sandrytė“,302518717,,,Naujasodis,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, Partizanų g. 228-1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1766,2171/1,2013-10-30,n,UAB „Sandrytė“,302518717,,,Smėliai,"parduotuvės alkoholinių gėrimų skyrius, Naujakurių g. 43A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1767,2171/2,2013-10-30,n,UAB „Sandrytė“,302518717,,,Žaliakalnis,"parduotuvės alkoholinių gėrimų skyrius, Žalioji g. 65, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1768,2063,2011-02-09,n,UAB „Gėrimų kompanija“,302518788,,,Milikoniai,"specializuota alkoholinių gėrimų prekybos įmonė, Žemaičių pl. 66, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1769,2020,2010-08-30,n,UAB „JAPONAI“,302519064,,,Naujasodis,"kavinė, Pramonės pr. 4A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1770,2038,2010-11-24,n,UAB „Bajorų gūžta“,302521229,,,Naujasodis,"restoranas, Pramonės pr. 6, Kaunas",alkoholiniais gėrimais,7–4 val.,,,,,,gerti ten pat ir išsinešti
1771,2038/1,2011-08-25,n,UAB „Bajorų gūžta“,302521229,,,Naujamiestis,"restoranas „Bajorkiemis“, I. Kanto g. 18, Kaunas",alkoholiniais gėrimais,8–5 val,,,,,,gerti ten pat ir išsinešti
1772,2038/2,2013-10-11,n,UAB „Bajorų gūžta“,302521229,,,Naujamiestis,"baras, Kęstučio g. 82, Kaunas",alkoholiniais gėrimais,11–1 val.,,,,,,gerti ten pat ir išsinešti
1773,2031,2010-10-27,n,UAB „Banda“,302522562,,,Senamiestis,"kavinė, M. Daukšos g. 29, Kaunas",alkoholiniais gėrimais,7.30–22 val.,,,,,,gerti ten pat ir išsinešti
1774,2015,2010-07-19,n,IĮ „ALDIJA“,302523511,,,Eiguliai,"kioskas prie namo P. Lukšio g. 27, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
1775,2015/1,2011-07-22,n,IĮ „ALDIJA“,302523511,,,Eiguliai,"specializuotas alkoholinių gėrimų prekybos skyrius, Šiaurės pr. 67-1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1776,2013,2010-07-13,n,UAB „Evantibe“,302524969,,,Senamiestis,"kavinė, J. Gruodžio g. 15-8, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1777,2122,2011-08-25,n,UAB „Daikčiukas“,302525291,,,Naujamiestis,"baras naktiniame klube „Vegas“, Kęstučio g. 32, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1778,2122/1,2011-08-25,n,UAB „Daikčiukas“,302525291,,,Naujamiestis,"baras naktiniame klube „Lust“, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1779,2122/2,2013-02-21,n,UAB „Daikčiukas“,302525291,,,Naujamiestis,"baras, Maironio g. 28, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1780,2125,2011-09-01,n,UAB „DRINK OUTLET“,302529489,,,Naujasodis,"baras, Rytinės galerijos 16 salė, Pramonės pr. 16 (5F1b), Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat
1781,2125/1,2011-09-01,n,UAB „DRINK OUTLET“,302529489,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Rytinės galerijos 16 salė, Pramonės pr. 16 (5F1b), Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1782,2059,2011-02-02,n,UAB BERŽELIS EXPRES,302531419,,,Petrašiūnai,"kavinė, R. Kalantos g. 3, Kaunas",alkoholiniais gėrimais,7–2 val.,,,,,,gerti ten pat ir išsinešti
1783,2390,2015-01-16,n,UAB „Railita“,302533384,,,Naujamiestis,"restoranas, Gedimino g. 30-3, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,vartoti vietoje
1784,2029,2010-10-22,n,UAB „SBC PROJEKTAI“,302536170,,,Senamiestis,"baras, Vilniaus g. 13-20, Kaunas",alkoholiniais gėrimais,20–6 val.,,,,,,gerti ten pat
1785,2068,2011-02-25,n,UAB „TASTE GROUP“,302536900,,,Senamiestis,"restoranas, Rotušės a. 4, 5, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1786,2119,2011-08-18,n,Ilonos Letkauskienės individuali įmonė,302537991,,,Gričiupis,"kavinė, A. ir J. Gravrogkų g. 4, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
1787,2034,2010-11-12,n,UAB „VYNĖJA“,302540069,,,Naujamiestis,"baras, A. Mickevičiaus g. 23, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
1788,2034/1,2010-11-24,n,UAB „VYNĖJA“,302540069,,,Naujamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, A. Mickevičiaus g. 23, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1789,2040,2010-11-26,n,Espress way UAB,302541121,,,Senamiestis,"kavinė, M. Daukšos g. 35-1, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1790,2051,2010-12-29,n,UAB „Maisto Žmonės“,302542305,,,Naujamiestis,"kavinė, Laisvės al. 56, Kaunas",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
1791,2054,2011-01-11,n,UAB „Rytų maistas“,302544594,,,Naujamiestis,"kavinė, Gedimino g. 24-2A, Kaunas",alkoholiniais gėrimais,11–22 val.,,,,,,gerti ten pat ir išsinešti
1792,2026,2010-09-30,n,UAB „DŽINAS“,302544822,,,Naujamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, Vytauto pr. 47 / Karo Ligoninės g. 1, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1793,2039,2010-11-26,n,"RUTAS, UAB",302546008,,,Senamiestis,"baras, Jonavos g. 16, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1794,2043,2010-11-26,n,IĮ „Rasita“,302547971,,,Eiguliai,"specializuotas alkoholinių gėrimų prekybos skyrius,S. Žukausko g. 19-57, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
1795,2085,2011-05-10,n,UAB „Sandwich Bar kava ir sumuštiniai“,302548475,,,Naujamiestis,"kavinė, Laisvės al. 80, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1796,2070,2011-03-08,n,UAB „Skryll International“,302549698,,,Senamiestis,"kavinė-baras, Vilniaus g. 26-20 / M. Daukšos g. 12-20, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1797,2345,2014-06-26,n,UAB „DB ir partneriai“,302552744,,,Milikoniai,"kavinė, Kuršių g. 7, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1798,2176,2012-04-16,n,UAB „PICUKĖ“,302557830,,,Kalniečiai,"picerija, Lazūnų g. 19, Kaunas",alkoholiniais gėrimais,8–2 val.,,,,,,vartoti vietoje ir išsinešti
1799,2035,2010-11-12,n,UAB „Hapis“,302557983,,,Naujamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, Vytauto pr. 13 / Šiaulių g. 40, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1800,2035/1,2010-12-22,n,UAB „Hapis“,302557983,,,Senamiestis,"baras I aukšte A. Jakšto g. 4, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1801,2035/2,2011-01-21,n,UAB „Hapis“,302557983,,,Senamiestis,"baras II aukšte, A. Jakšto g. 4, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1802,2072,2011-03-23,n,UAB „Viešųjų ryšių agentūra“,302559621,,,Gričiupis,"kavinė, Pašilės g. 70A, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
1803,2079,2011-04-13,n,UAB „Todo Resto“,302560029,,,Naujamiestis,"kavinė, Laisvės al. 74, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1804,2055,2011-01-11,n,UAB „Eresita“,302565371,,,Aukštieji Šančiai,"kavinė, Prancūzų g. 12, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
1805,2397,2015-02-27,n,UAB „PATATA“,302565528,,,Senamiestis,"baras, Nemuno g. 45, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,vartoti vietoje
1806,2062,2011-02-03,n,UAB „Jakata“,302573884,,,Senamiestis,"restoranas, M. Valančiaus g. 14-3, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1807,2080,2011-04-13,n,UAB „PUB PROJEKTAI“,302574541,,,Naujamiestis,"alaus baras, Laisvės al. 57, Kaunas",alkoholiniais gėrimais,10–6 val.,,,,,,gerti ten pat
1808,2080/1,2012-12-04,n,UAB „PUB PROJEKTAI“,302574541,,,Naujamiestis,"kavinė, Laisvės al. 57, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1809,2065,2011-02-14,n,UAB „Alaus kaimynai“,302575668,,,Naujasodis,"užkandinė, Rytinės galerijos 21 salė, Pramonės pr. 16 (5F1b), Kaunas",alkoholiniais gėrimais,8–18 val.,,,,,,gerti ten pat ir išsinešti
1810,2065/1,2011-06-23,n,UAB „Alaus kaimynai“,302575668,,,Žaliakalnis,"užkandinė, Savanorių pr. 168, Kaunas",alkoholiniais gėrimais,10–22 val.,2016-05-11,,,,,gerti ten pat ir išsinešti
1811,2065/2,2011-09-22,n,UAB „Alaus kaimynai“,302575668,,,Žemieji Šančiai,"specializuota parduotuvė, A. Juozapavičiaus pr. 84A, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–22 val.,,,,,,išsinešti
1812,2410,2015-04-15,n,UAB „Inedus“,302576204,,,Senamiestis,"restoranas, Šv. Gertrūdos g. 39A, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,vartoti vietoje
1813,2069,2011-03-03,n,UAB „Meistrų centras“,302579830,,,Dainava,"specializuotas alkoholinių gėrimų prekybos skyrius, V. Krėvės pr. 115-37, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1814,2538,2017-01-03,n,UAB „VIPsupply“,302583533,,,Naujamiestis,"knygyno baras „Knygų ministerija“, Laisvės al. 29, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1815,2083,2011-05-04,n,UAB „Mojo lounge“,302584140,,,Naujamiestis,"baras, V. Putvinskio g. 50, Kaunas",alkoholiniais gėrimais,10–5 val.,,,,,,gerti ten pat
1816,2134,2011-10-18,n,UAB „DeiRus“,302587898,,,Senamiestis,"greito maisto restoranas, Nemuno g. 45, Kaunas",alkoholiniais gėrimais,11–6 val.,,,,,,gerti ten pat ir išsinešti
1817,2098,2011-06-01,n,UAB „Dainosva“,302591868,,,Freda,"kavinė, Veiverių g. 51, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
1818,2066,2011-02-24,n,UAB „Evutėja“,302592557,,,Vičiūnai,"specializuotas alkoholinių gėrimų prekybos skyrius, Pakuonio g. 6, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1819,2199,2012-09-18,n,UAB „NEVADA LT“,302593933,,,Eiguliai,"parduotuvės alkoholinių gėrimų skyrius, Savanorių pr. 435, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1820,2199/1,2012-09-18,n,UAB „NEVADA LT“,302593933,,,Eiguliai,"baras, Savanorių pr. 435, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1821,2086,2011-05-10,n,UAB „ODILE“,302595457,,,Senamiestis,"kavinė, Raguvos g. 11, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1822,2094,2011-05-25,n,UAB „Pakeva“,302596872,,,Dainava,"kavinė, V. Krėvės pr. 43A, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,gerti ten pat ir išsinešti
1823,2087,2011-05-10,n,UAB „GROVITAS“,302596961,,,Senamiestis,"baras, Rotušės a. 1 / Vilniaus g. 2, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1824,2116,2011-08-05,n,"BELKANTO, UAB",302597127,,,Naujamiestis,"kavinė, Laisvės al. 78B-1, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
1825,2195,2012-08-09,n,UAB „Cheby“,302597853,,,Naujamiestis,"kavinė, Vytauto pr. 60, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–22 val.,,,,,,gerti ten pat
1826,2254,2013-05-28,n,UAB „PIENO KARALYSTĖ“,302598581,,,Dainava,"parduotuvė, V. Krėvės pr. 97D, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–19 val.,,,,,,išsinešti
1827,2254/1,2013-08-23,n,UAB „PIENO KARALYSTĖ“,302598581,,,Dainava,"parduotuvės alkoholinių gėrimų skyrius, V. Krėvės pr. 97D, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1828,2254/2,2016-06-07,n,UAB „PIENO KARALYSTĖ“,302598581,,,Gričiupis,"parduotuvės alkoholinių gėrimų skyrius, Kovo 11-osios g. 45-83, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1829,2166,2012-03-26,n,UAB „BAR PROJEKTAI“,302598930,,,Senamiestis,"baras, Rotušės a. 29, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
1830,2076,2011-04-07,n,UAB ALAUS UPĖ,302598962,,,Vilijampolė,"parduotuvė, Neries krantinė 16, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–18 val.,,,,,,išsinešti
1831,2076/1,2011-12-06,n,UAB ALAUS UPĖ,302598962,,,Smėliai,"užkandinė, Baltijos g. 112, Kaunas",alkoholiniais gėrimais,12–22 val.,,,,,,gerti ten pat ir išsinešti
1832,2102,2011-06-29,n,UAB „Big Doner“,302599473,,,Eiguliai,"užkandinė, Ašigalio g. 3A, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat
1833,2102/1,2012-11-08,n,UAB „Big Doner“,302599473,,,Senamiestis,"užkandinė, Vilniaus g. 13, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1834,2089,2011-05-12,n,UAB „TAPIKA“,302601675,,,Senamiestis,"restoranas, Vilniaus g. 22, Kaunas",alkoholiniais gėrimais,9–3 val.,,,,,,gerti ten pat ir išsinešti
1835,2127,2011-09-19,n,UAB „Miesto platforma“,302604358,,,Vilijampolė,"baras, Raudondvario pl. 101, Kaunas",alkoholiniais gėrimais,12–6 val.,,,,,,gerti ten pat
1836,2115,2011-08-05,n,UAB „Martė“,302604365,,,Veršvai,"picerija, Raudondvario pl. 141, Kaunas",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
